Year,Quarter,Percent,Category
,,3,Dining (Freedom Flex only)
,,3,Drugstores (Freedom Flex only)
,,1,All other purchases
2021,1,5,Wholesale Clubs
2021,1,5,"Internet, Cable, and Phone Services"
2021,1,5,Select Streaming Services
2021,2,5,Gas Stations
2021,2,5,Home Improvement Stores
2021,3,5,Grocery stores (excluding Walmart and Target)
2021,3,5,Select streaming services
2021,4,5,PayPal
2021,4,5,Walmart
2022,1,5,Grocery stores (excluding Walmart and Target)
2022,1,5,eBay
2022,2,5,Amazon.com
2022,2,5,Select Streaming Services
2022,3,5,Gas stations
2022,3,5,"Car rental agencies
"
2022,3,5,Movie theaters
2022,3,5,Select live entertainment
2022,4,5,TBA
